,heapsort_notinplace,heapsort_inplace,mergesort_notinplace,mergesort_inplace,quicksort_notinplace,quicksort_inplace,python_sort
0,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
1,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
2,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
3,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
4,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
5,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
6,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
7,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
8,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
9,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
10,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
11,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
12,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
13,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
14,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
15,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
16,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
17,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
18,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
19,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
20,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
21,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
22,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
23,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
24,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
25,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
26,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
27,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
28,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
29,1.4000000021496817e-06,4.100000005280435e-06,1.6999999985500835e-06,1.6999999985500835e-06,1.600000000046009e-06,1.4999999999876223e-06,2.0000000000575113e-06
30,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
31,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
32,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
33,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
34,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
